Company/Brand,Sector,Stage,Amount($),Location,What it does,Amount($),Year of Funding
Kogta Financial India Limited,Financial Services,Series B,224840000.0,"Jaipur, Rajasthan, India",Kogta Financial (India) Ltd is a retail-focused non banking financial company .,1000000.0,2018
Perspectico,Career Planning,Seed,,"New Delhi, Delhi, India",An Education Management startup.,1000000.0,2018
The Souled Store,Fashion,Venture - Series Unknown,3000000,"Mumbai, Maharashtra, India","The Souled Store bring to you awesome t-shirts, framed prints, badges, notebooks, coasters.",3000000.0,2018
Hush - Speak Up. Make Work Better,Communities,Seed,6570000.0,"Bangalore, Karnataka, India",Enabling diversity of opinions in organizations,1000000.0,2018
Drivezy,Automotive,Debt Financing,100000000,"Bengaluru, Karnataka, India",Drivezy is India's largest vehicle sharing platform which helps people turn their vehicles into earning members of their family.,100000000.0,2018
Freyr Energy,Energy,Series A,1500000,"Hyderabad, Andhra Pradesh, India","Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.",1500000.0,2018
NIRAMAI Health Analytix,Health Care,Seed,6000000,"Bangalore, Karnataka, India",NIRAMAI has developed a novel breast cancer screening solution that uses Thermalytix.,6000000.0,2018
CloudSek,Information Technology,Seed,20440000.0,"Bengaluru, Karnataka, India",Cloudsek is an Infosec Risk assessment company which provides intelligence needed to tackle online threats.,1000000.0,2018
Lendbox,Crowdfunding,Seed,8760000.0,"Delhi, Delhi, India",Lendbox is India's leading peer-to-peer lending online lending platform.,1000000.0,2018
Verloop,Customer Service,Series A,3000000,"Bangalore, Karnataka, India",Verloop is an automated customer support and engagement platform.,3000000.0,2018
Flickstree,Advertising,Seed,,"Mumbai, Maharashtra, India","Flickstree is a smart video content aggregator, powered by Artificial Intelligence.",1000000.0,2018
Paymatrix,Credit Cards,Seed,100000,"Hyderabad, Andhra Pradesh, India",India's Leading Property Rent management platform,100000.0,2018
Idha Skin Clinic,Beauty,Seed,730000.0,"Bangalore City, Karnataka, India",Idha skin clinic jayanagar is dedicated to restore health and natural beauty to your skin.,1000000.0,2018
InCred,Banking,Private Equity,41900000,"Mumbai, Maharashtra, India",InCred Finance is a mumbai-based non-banking financial company,41900000.0,2018
Vedantu,EdTech,Series B,11000000,"Bangalore, Karnataka, India",Vedantu provides personalized LIVE Online Tutoring. Vedantu aims to democratize teaching by creating a marketplace of Teachers,11000000.0,2018
Sportido,Social Media,Seed,,"Noida, Uttar Pradesh, India",Sportido is a sports discovery app that helps you find people and places to play 700+ sports around you.,1000000.0,2018
Stelis Biopharma,Biopharma,Series B,100000000,"Bangalore, Karnataka, India",Stelis Biopharma is a vertically integrated biopharmaceutical company,100000000.0,2018
Magicpin,E-Commerce,Series C,205860000.0,"Gurgaon, Haryana, India","Magicpin is a platform where users and merchants in a locality discover, interact, and transact.",1000000.0,2018
Try & Buy,E-Commerce,Seed,,"New Delhi, Delhi, India",Try & Buy,1000000.0,2018
Mech Mocha,Digital Entertainment,Series B,3530000,"Bangalore, Karnataka, India",Mech Mocha is a mobile gaming startup based in Bangalore working towards ‘Making India Play’ .,3530000.0,2018
Aye Finance,Finance,Debt Financing,10512000.0,"Gurgaon, Haryana, India",Aye Finance provides financial services to micro and small businesses in Northern India.,1000000.0,2018
Aldopay,Mobile Payments,Seed,200000,"Chennai, Tamil Nadu, India",Mobile Wallet Focusing on hassle free checkout via Finger Print & OTP.,200000.0,2018
Detect Technologies,Artificial Intelligence,Series A,3300000,"Chennai, Tamil Nadu, India",Completely automated remote control system.,3300000.0,2018
Signzy,Computer,Series A,35040000.0,"Bangalore, Karnataka, India",Signzy are creating 'building blocks for a Digital Trust system.,1000000.0,2018
CashRich,Apps,Seed,1000000,"Mumbai, Maharashtra, India",A Mumbai-based fin-tech startup,1000000.0,2018
Cloudnine Hospitals,Child Care,Private Equity,,"Bangalore, Karnataka, India",Cloudnine is an Indian chain of women and child care hospitals.,1000000.0,2018
CropIn Technologies,Agriculture,Series B,84680000.0,"Bengaluru, Karnataka, India","To discover, develop and deliver innovative solution in Agtech Space",1000000.0,2018
Billdesk,Finance,Venture - Series Unknown,,"Ahmedabad, Gujarat, India","BillDesk, a property of IndiaIdeas.com Ltd. was conceived in early 2000 to solve the frustrations of most of us when it comes to paying",1000000.0,2018
Yaantra,Information Services,Debt Financing,2000000,"Delhi, Delhi, India","Yaantra, India’s leading mobile phone repair, refurbished & Unboxed centre In India",2000000.0,2018
TECHBOOZE,Education,Seed,100000,"New Delhi, Delhi, India","Techbooze[1] ""AN OPEN FORUM"" is an educational enterprise, headquartered in India working across the country.",100000.0,2018
HealthifyMe,Apps,Series B,6000000,"Bangalore, Karnataka, India",HealthifyMe is an application that allows its users to achieve their fitness and weight loss goals from their computers and smartphones.,6000000.0,2018
hoi foods,Food and Beverage,Seed,5256000.0,"Gurgaon, Haryana, India",India's first hotel dedicated food brand which promises great in room dining experience in budget hotels,1000000.0,2018
Perpule,Apps,Series A,49640000.0,"Bangalore, Karnataka, India",Perpule is a self-checkout product for retail outlets to enhance the shopping experience of the customers.,1000000.0,2018
Royal Sundaram General Insurance Co. Limited,Health Insurance,Corporate Round,210000000,"Kalpakkam, Tamil Nadu, India","Royal Sundaram provides comprehensive insurance plans and innovative insurance solutions to individuals, families and businesses.",210000000.0,2018
CleanseCar,Automotive,Angel,5110000.0,"Bangalore, Karnataka, India",CleanseCar is a company provides Washing and Repair Services.,1000000.0,2018
DRIVEU,Rental,Venture - Series Unknown,10220000.0,"Bengaluru, Karnataka, India",DriveU is a convenient and a quick way of getting on demand drivers for consumers and businesses,1000000.0,2018
Spinny,E-Commerce,Series A,11000000,"Gurgaon, Haryana, India",Used cars marketplace in India. Ushering new era of transparency and convenience.,11000000.0,2018
Asset Reconstruction Company (India) Ltd.,Financial Services,Secondary Market,,"Mumbai, Maharashtra, India",Asset Reconstruction Company (India) Ltd. operates as a asset reconstruction company.,1000000.0,2018
Med365 Healthcare,Health Diagnostics,Seed,7300000.0,"Jaipur, Rajasthan, India","Wellness, Specialised Testing, Healthcare at Home",1000000.0,2018
Dunzo,Customer Service,Debt Financing,10220000.0,"Bangalore, Karnataka, India",Dunzo is an app that connects you with the nearest available delivery partner to pickup or deliver items for you.,1000000.0,2018
Mobile Premier League (MPL),Gaming,Series A,5000000,"Bengaluru, Karnataka, India",Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games and win real cash always.,5000000.0,2018
WalMart India,Retail,Venture - Series Unknown,37680000,"Gurgaon, Haryana, India","Wal-Mart India Private Limited is a wholly owned subsidiary of Walmart Stores Inc.,",37680000.0,2018
Cred,,Seed,,"Bengaluru, Karnataka, India",Cred is a platform to celebrate and reward the most creditworthy people of India.,1000000.0,2018
Meesho,E-Commerce,Series C,50000000,"Bangalore, Karnataka, India","Meesho is an online reseller network of housewives and SMBs, who sell products within their network on social channels.",50000000.0,2018
BhaskarGuru,Search Engine,Seed,1000000,"Bhopal, Madhya Pradesh, India",Bhaskarguru.com is your local search Engine,1000000.0,2018
Gugu,Battery,Seed,250000,"Coimbatore, Tamil Nadu, India",Gugu designs & Sells all Electric Connected Two-wheeler's with Network of Open & Free Fast charging Stations across India.,250000.0,2018
FarmTaaza,Agriculture,Series A,,"Bengaluru, Karnataka, India",Farm Taaza provides expert advice to the farmers on improving the yield and improving the field operations of the farmer.,1000000.0,2018
Vizzbee,Artificial Intelligence,Pre-Seed,20000,"Bhopal, Madhya Pradesh, India",Autonomous Drone Solutions for last mile delivery as well as search and rescue,20000.0,2018
BIGPHI TECHNOLOGIES PVT. LTD.,Fashion,Angel,900000,"Bangalore, Karnataka, India",BIGPHI technologies is the India's first technologically advanced apparel and wearable company.,900000.0,2018
Mobycy,Fitness,Angel,,"Gurgaon, Haryana, India",India's 1st Dockless Bicycle Sharing App,1000000.0,2018
Traveo Soft Pvt. Ltd.,Mobile,Undisclosed,175200.0,"Bangalore, Karnataka, India",AI based Business Travel & Expense management,1000000.0,2018
Em Personal Care,Cosmetics,Seed,,"Worli, Maharashtra, India",Em Personal Care is a Cosmetic products manufacturing Company.,1000000.0,2018
Lucideus,Consulting,Venture - Series Unknown,5000000,"New Delhi, Delhi, India","Lucideus is a cybersecurity company that offers its customers with consultancy, training, and solutions to counteract cyber-attacks.",5000000.0,2018
Eupheus Learning,E-Learning,Seed,,"Delhi, Delhi, India",Eupheus Learning offers a seamless integrated learning solution for the K-12 market in India.,1000000.0,2018
GamingMonk,eSports,Series A,5840000.0,"New Delhi, Delhi, India","GamingMonk is an eSports gaming company based out of New Delhi, India.",1000000.0,2018
Sukkhi Jewellery,Fashion,Venture - Series Unknown,74460000.0,"Mumbai, Maharashtra, India",Sukkhi Jewellery is a Contemporary fashion jewellery brand.,1000000.0,2018
INDwealth,Financial Services,Seed,321200000.0,"Gurgaon, Haryana, India",INDwealth is an Artificial Intelligence (AI) powered wealth management company,1000000.0,2018
Medikabazaar,B2B,Series A,5000000,"Mumbai, Maharashtra, India",India's largest medical and surgical supplies marketplace,5000000.0,2018
NIRA,Credit,Seed,1000000,"Bangalore, Karnataka, India","NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",1000000.0,2018
Duroflex Pvt. Ltd.,Consumer Goods,Private Equity,22000000,"Alleppey, Kerala, India",Duroflex Pvt. Ltd. operates as a dominant mattress player.,22000000.0,2018
Clensta,Biotechnology,Seed,,"New Delhi, Delhi, India",A biotechnology start-up was incorporated to improve the National Hygiene condition whilst addressing the aspect of water conservation.,1000000.0,2018
Jetbrain Robotics,Health Care,Seed,70000,"Gurgaon, Haryana, India","Jetbrain Robotics is Hong Kong / Gurgaon based company, building advanced robotic transportation solutions for multi speciality hospitals.",70000.0,2018
Medimetry,Health Care,Seed,,"Haryana, Haryana, India","MediMetry is an online platform where patients can consult specialists doctors online - from anywhere, at anytime.",1000000.0,2018
Healthkart,E-Commerce,Venture - Series Unknown,10000000,"Gurgaon, Haryana, India","The one stop shop for health, fitness & beauty.",10000000.0,2018
Indiabulls Ventures,Financial Services,Post-IPO Equity,2247232000.0,"Mumbai, Maharashtra, India",Indiabulls Ventures Limited is one of India’s leading capital market companies providing securities and derivative broking services.,1000000.0,2018
Vistara,Aerospace,Private Equity,2920000000.0,"Haryana, Haryana, India",Vistara is a joint venture of Tata Sons Limited and Singapore Airlines Limited (SIA),1000000.0,2018
ClearTax,Accounting,Series B,584000000.0,"New Delhi, Delhi, India",ClearTax India helps individuals prepare and e-file their Income Tax Return online.,1000000.0,2018
Shuttl,Apps,Debt Financing,1000000,"Gurgaon, Haryana, India","Shuttl provides an app-based office shuttle service to make daily commute safe, reliable, affordable and dignified for everyone.",1000000.0,2018
GuruQ,Reading Apps,Seed,3650000.0,"New Delhi, Delhi, India",A one of its kind digital integrated platform connecting tutors and students.,1000000.0,2018
Azure Power,Energy,Post-IPO Equity,185000000,"New Delhi, Delhi, India","Azure Power produces and distributes solar power to commercial, government, and utility customers in India.",185000000.0,2018
Cube,Banking,Series A,20440000.0,"Mumbai, Maharashtra, India",Cube is consumer banking focused fintech company.,1000000.0,2018
RAHI Care,Health Care,Venture - Series Unknown,,"Chandigarh, Chandigarh, India",RAHI Care is a Health Care company.,1000000.0,2018
Mynvax,Biotechnology,Angel,,"Bangalore, Karnataka, India",Mynvax is a biotech Company.,1000000.0,2018
Loans4SME,Financial Services,Seed,,"Mumbai, Maharashtra, India",Loans4SME is an alternative lending platform.,1000000.0,2018
UpCyclersLab,Apps,Seed,,"Mumbai, Maharashtra, India",UpCyclersLab is a startup that makes sustainability-based learning tools for children above the age of five.,1000000.0,2018
Cellerite Systems,Electric Vehicle,Seed,,"Hyderabad, Andhra Pradesh, India",Cellerite Systems is a charging solutions provider for electric vehicles.,1000000.0,2018
Taru Naturals,Agriculture,Seed,,"Mumbai, Maharashtra, India",Taru Naturals is a network that connects farmer communities with clean technology and renewable energy.,1000000.0,2018
LetsMD,Fitness,Seed,1000000,"New Delhi, Delhi, India",LetsMD.com is a marketplace for elective surgeries,1000000.0,2018
Twenty Two Motors,Automotive,Corporate Round,65000000,"Haryana, Haryana, India",Twenty Two Motors aim of making cutting edge EV technology affordable for the current generation.,65000000.0,2018
Truebil,Automotive,Series A,2000000,"Mumbai, Maharashtra, India","Truebil is a team of young, highly motivated professionals who strive to help you buy and sell used cars in the simplest way possible.",2000000.0,2018
FarmersFZ,Agriculture,Seed,,"Kochi, Kerala, India",FarmersFZ is an online venture for fresh and safe vegetables and agri products.,1000000.0,2018
Worxogo,Information Technology,Series A,24090000.0,"Bangalore, Karnataka, India",worxogo’s is a pioneering persuasive technology products align employee behaviours .,1000000.0,2018
Vivish Technologies (myGate),Apps,Series A,94900000.0,"Bengaluru, Karnataka, India",India's leading mobile based security management solution .,1000000.0,2018
Singularity Dynamics,Artificial Intelligence,Seed,,"Bengaluru, Karnataka, India",Singularity Dynamics is a Chip-design testing startup.,1000000.0,2018
Virtual MetalStreet(MetalStreet),B2B,Angel,700000,"Bengaluru, Karnataka, India",Virtual MetalStreet(Metalstreet) is a B2B marketplace for steel trading in India,700000.0,2018
Veritas Finance,Financial Services,Venture - Series Unknown,30000000,"Guindy, Tamil Nadu, India",Veritas Finance has been promoted with a primary purpose of meeting the working capital and business credit requirements of the small bus.,30000000.0,2018
Manjushree Technopack,Packaging Services,Private Equity,,"Bangalore, Karnataka, India",Manjushree Technopack is a Rigid plastics packaging convertor in India and South Asia.,1000000.0,2018
GoZefo,Computer,Venture - Series Unknown,30659999.999999996,"Bangalore, Karnataka, India",Startup working on a white space in the eCommerce industry.,1000000.0,2018
Zomato,Food Delivery,Secondary Market,210000000,"Gurgaon, Haryana, India",Zomato is a search app offering detailed information for restaurants as well as online food delivery.,210000000.0,2018
Innov8 Coworking,Collaboration,Seed,4000000,"New Delhi, Delhi, India",Innov8 is a Y- Combinator backed company that offers coworking and shared office spaces.,4000000.0,2018
RevFin,Accounting,Seed,,"Delhi, Delhi, India",RevFin is a digital lending company.,1000000.0,2018
Lavelle Networks,Cloud Computing,Venture - Series Unknown,2920000.0,"Bengaluru, Karnataka, India",Lavelle Networks provides Software Defined WAN (SD-WAN) Solutions to build end to end Enterprise Networking Platforms for tomorrow,1000000.0,2018
Blackbuck,Information Services,Series D,296321600.0,"Bengaluru, Karnataka, India",Blackbuck is a logistics startup based in India.,1000000.0,2018
Cardekho,Automotive,Series C,75000000,"Gurgaon, Haryana, India",Cardekho is a car search venture that helps users buy cars that are right for them.,75000000.0,2018
ElasticRun,Delivery,Series B,87600000.0,"Pune, Maharashtra, India",ElasticRun develops an online system that improves the reception of orders from customers and the dispatch of delivery drivers in India.,1000000.0,2018
Droom Technology Private Limited,Automotive,Series E,30000000,"Gurgaon, Haryana, India",Droom is a marketplace for automobiles and automobile services.,30000000.0,2018
Vogo Rentals,Last Mile Transportation,Debt Financing,11680000.0,"Kormangala, Karnataka, India",Vogo is a dockless scooter rental company in India which lets customers rent scooters for short one way trips.,1000000.0,2018
InnerChef,Cooking,Venture - Series Unknown,1760000,"Gurgaon, Haryana, India",InnerChef is an online food discovery and delivery experience that will make the foodie in you come alive.,1760000.0,2018
LivQuik,FinTech,Corporate Round,2700000,"Mumbai, Maharashtra, India",LivQuik was incorporated with the vision to simplify payments for merchants and consumers in an increasingly digital world,2700000.0,2018
Disprz,E-Learning,Debt Financing,400000,"Chennai, Tamil Nadu, India","Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.",400000.0,2018
9stacks,Online Games,Series A,40880000.0,"Delhi, Delhi, India",Online gaming startup.,1000000.0,2018
Origo,,Venture - Series Unknown,116800000.0,"Gurgaon, Haryana, India","Origo Commodities, a complete post-harvest management services for agricultural commodities, is the fastest growing company in its sector.",1000000.0,2018
YourOwnROOM,Online Portals,Seed,750000,"Bangalore, Karnataka, India","Good quality, strategically located homes closer to work for millennials",750000.0,2018
Vahdam Teas,E-Commerce,Series B,2500000,"New Delhi, Delhi, India",Vahdam Teas is a vertically integrated online-first tea brand that sources premium garden fresh teas direct from over 150+ tea plantations.,2500000.0,2018
Spoofin,Music,Venture - Series Unknown,,"New Delhi, Delhi, India",A social networking app that lets you create and view Spoofs of your favourite videos.,1000000.0,2018
Strom Motors,Automotive,Angel,,"Mumbai, Maharashtra, India",Strom Motors is a smart urban mobility Company.,1000000.0,2018
PharmEasy,Health Care,Series C,80000000,"Mumbai, Maharashtra, India",PharmEasy - Indias largest healthcare delivery platform,80000000.0,2018
Licious,Delivery Service,Series C,25000000,"Bengaluru, Karnataka, India","Licious is an online meat and fish ordering startup that solves existing problem of finding safe, delectable, trustworthy fresh meat.",25000000.0,2018
Stanza Living,Hospitality,Venture - Series Unknown,106580000.0,"New Delhi, Delhi, India",Stanza Living is a co-living platform created for students moving to a new place.,1000000.0,2018
docturnal,Biotechnology,Seed,,"Hyderabad, Andhra Pradesh, India","Docturnal, an online platform, enables individuals to find information and diagnostic services related to diabetes, cancer, and more.",1000000.0,2018
Bounce (Metro Bikes),Autonomous Vehicles,Debt Financing,3000000,"Bangalore, Karnataka, India","Bounce (formerly Metro Bikes) is an urban mobility solution that makes daily commute stress-free, time-saving, reliable, and convenient.",3000000.0,2018
Technology 9 Labs (T9L),Information Technology,Corporate Round,,"New Delhi, Delhi, India",Technology 9 Labs is an Information Technology and Services company.,1000000.0,2018
Goals101,Financial Services,Seed,3500000,"Delhi, Delhi, India",Goals101 is a one of the fastest growing big-data platforms.,3500000.0,2018
Satya MicroCapital,Finance,Venture - Series Unknown,58400000.0,"New Delhi, Delhi, India",New Delhi-based non-banking financial company.,1000000.0,2018
Ummeed Housing Finance Private Limited,Finance,Series C,87600000.0,"Haryana, Haryana, India",Ummeed Housing Finance Private Limited,1000000.0,2018
StockEdge,Analytics,Seed,1100000,"Kolkata, West Bengal, India","StockEdge is a unique platform, which is 100% focused on research and analytics",1100000.0,2018
Sequretek,,Venture - Series Unknown,3700000,"Mumbai, Maharashtra, India",Sequretek is a cyber security start-up.,3700000.0,2018
Avenues Payments India Pvt. Ltd.,,Corporate Round,1300000,"Mumbai, Maharashtra, India",Avenues Payments is an IT solutions provider for the remittance\money transfer and forex industries.,1300000.0,2018
Qbera,Finance,Venture - Series Unknown,20440000.0,"Bangalore, Karnataka, India",Qbera is a managed marketplace for unsecured personal loans.,1000000.0,2018
Urban Ladder,E-Commerce,Debt Financing,5600000,"Bangalore, Karnataka, India",Urban Ladder is a Bangalore-based online furniture company.,5600000.0,2018
Planet11 eCommerce Solutions India (Avenue11),,Corporate Round,37960000.0,"Bengaluru, Karnataka, India","Planet11 is backed by SK Planet, which is a part of the SK Group – one of the largest conglomerates in South Korea.",1000000.0,2018
DailyNinja,Apps,Series A,,"Bengaluru, Karnataka, India","Daily Ninja, a mobile app that delivers daily needs on a subscription model",1000000.0,2018
Iba Halal Care,,Series A,21900000.0,"Ahmedabad, Gujarat, India",Iba Halal Care is a cosmetics brand company.,1000000.0,2018
Knocksense,News,Seed,,"Lucknow, Uttar Pradesh, India",Knocksense is a fast growing lifestyle website.,1000000.0,2018
Togedr,,Venture - Series Unknown,,"Gurgaon, Haryana, India",Togedr is an activity discovery & booking platform.,1000000.0,2018
Parkwheels,Industrial,Seed,1752000.0,"Haryana, Haryana, India","Parkwheels aims at solving the big, bad & unsexy parking problems of India.",1000000.0,2018
ShareChat,Internet,Series C,99230000,"Bangalore, Karnataka, India",ShareChat is a social networking and regional content platform for the fast growing Internet users in India.,99230000.0,2018
Cyclops Medtech,Health Care,Seed,1000000,"Bangalore, Karnataka, India",Medtech startup working on clinical and wearable diagnostic and rehab products for neuro vestibular disorders using eye tracking technology.,1000000.0,2018
Livspace,E-Commerce,Series C,70000000,"Bangalore, Karnataka, India","Livspace is the new online shopping destination where you can design, decorate and furnish your dream home.",70000000.0,2018
NewsBytes,Apps,Seed,1000000,"Gurgaon, Haryana, India",NewsBytes provides your everyday news in a contextual timeline to reduce information overload.,1000000.0,2018
Leena AI,Artificial Intelligence,Seed,2000000,"Gurgaon, Haryana, India",Leena is smart AI powered HR companion dedicated towards engaging employees.,2000000.0,2018
Max Healthcare,Health Care,Corporate Round,,"New Delhi, Delhi, India",Max Healthcare is one of the leading chain of hospitals in India.,1000000.0,2018
GoBolt,Logistics,Venture - Series Unknown,58400000.0,"New Delhi, Delhi, India",Delhi-based logistics technology.,1000000.0,2018
GoGaga,Dating,Non-equity Assistance,40000,"Bangalore City, Karnataka, India",GoGaga is a new age dating app that has removed the mindless swiping on strangers and connects users through their network and find matches.,40000.0,2018
Mate Labs,Artificial Intelligence,Seed,550000,"Bangalore, Karnataka, India",Mate Labs is a machine learning solutions platform for beginners.,550000.0,2018
Furlenco,Consumer,Series C,,"Bangalore, Karnataka, India",Furlenco is a Bangalore-based company that offers a home furniture subscription program.,1000000.0,2018
Ola,Apps,Venture - Series Unknown,50000000,"Kormangala, Karnataka, India",Ola is a mobile app that brings together cab drivers and customers using technology to make transportation hassle-free in India.,50000000.0,2018
DocPrime,Health Care,Funding Round,50000000,"Haryana, Haryana, India",DocPrime offers a one-stop healthcare solution right at the comfort of patients' homes.,50000000.0,2018
CLP India Pvt. Ltd.,Energy,Private Equity,365000000,"Mumbai, Maharashtra, India",CLP India Pvt. Ltd. is a foreign investor in the Indian power sector.,365000000.0,2018
Xplorabox,E-Commerce,Seed,,"Noida, Uttar Pradesh, India",Xplorabox is as an educational activity box subscription startup aiming to revolutionize the early education industry.,1000000.0,2018
Myra,Apps,Venture - Series Unknown,1277500.0,"Bangalore, Karnataka, India",Myra is a unique solution of technology and operations that makes buying medicines fast and efficient.,1000000.0,2018
Vokal,Internet,Series A,1500000,"Bengaluru, Karnataka, India",India's Largest Peer-to-Peer Knowledge Sharing Platform in Indian Languages.,1500000.0,2018
Kissht,Credit,Series C,30000000,"Mumbai, Maharashtra, India","Kissht is a financial technology platform that enables instant, seamless credit for consumers to make purchases at digital points of sales",30000000.0,2018
Upwards Fintech,Banking,Series A,5000000,"Mumbai, Maharashtra, India",Upwards Fintech financial company.,5000000.0,2018
Bon(Bonfleet Solutions),Financial Services,Seed,11388000.0,"Pune, Maharashtra, India","Bon, a Pune-based FinTech firm was created to bring financial services to the gig-economy workforce.",1000000.0,2018
Mamaearth,E-Commerce,Series A,4000000,"Gurgaon, Haryana, India",Mamaearth is an online retailer specializing in baby and toddler products.,4000000.0,2018
BabyChakra,Child Care,Series B,,"Mumbai, Maharashtra, India",BabyChakra is India's largest & most loved platform to discover the right maternity and childcare.,1000000.0,2018
Belstar Investment and Finance Private Limited,Financial Services,Venture - Series Unknown,28000000,"Chennai, Tamil Nadu, India",Belstar Investment and Finance Private Limited is a provider of scalable microfinance services to entrepreneurs.,28000000.0,2018
Naaptol,E-Commerce,Venture - Series Unknown,15000000,"Mumbai, Maharashtra, India","Koku Gamer is an online platform that offers gaming related news, editorials, reviews, previews, and other content.",15000000.0,2018
Moonshine Meadery,Food and Beverage,Seed,,"Pune, Maharashtra, India",Moonshine Meadery is a first craft meadery.,1000000.0,2018
Verzeo,E-Learning,Series A,5000000,"Bangalore, Karnataka, India",Verzeo is anAI-focussed edtech startup.,5000000.0,2018
Haazri,Food and Beverage,Seed,1825000.0,"Mumbai, Maharashtra, India",Haazri is a tea and snack quick service restaurant startup,1000000.0,2018
Connect India,Delivery Service,Angel,,"New Delhi, Delhi, India","To create pervasive network where connections are simpler, more powerful, more affordable, more global and more available to all.",1000000.0,2018
Flyrobe,Fashion,Series B,38544000.0,"Mumbai, Maharashtra, India",Flyrobe is an on-demand apparel rental platform that provides premium designer wear.,1000000.0,2018
Scholify,,Pre-Seed,,"Bengaluru, Karnataka, India",Edutech,1000000.0,2018
Dream11,Fantasy Sports,Series D,100000000,"Mumbai, Maharashtra, India","Dream11 is India’s Biggest Sports Game with 30 million+ users playing Fantasy Cricket, Football, Kabaddi and NBA.",100000000.0,2018
srJna,Education,Seed,,"Jaipur, Rajasthan, India","SRJNA is a brand of Elation Edtech Pvt. Ltd., which helps schools to integrate hands on, affordable and turnkey STEM.",1000000.0,2018
Nykaa,Beauty,Secondary Market,164980000.0,"Mumbai, Maharashtra, India",Nykaa.com is a premier online beauty and wellness destination,1000000.0,2018
Chaayos,Food and Beverage,Series B,118260000.0,"New Delhi, Delhi, India",Chaayos was born in November 2012 out of this premise - a contemporary interpretation of the chai adda.,1000000.0,2018
Heelium,Fitness,Seed,,"Pune, Maharashtra, India",Heelium is an athletic footwear and wearable startup with primary focus on sports safety and sustainability.,1000000.0,2018
LT Foods,Food and Beverage,Post-IPO Equity,204400000.0,"New Delhi, Delhi, India",LT Foods believe that nature will continue to nurture us until we as a species continue to breathe and live.,1000000.0,2018
Multibashi,E-Learning,Seed,1460000.0,"Bengaluru, Karnataka, India",Free language learning platform.,1000000.0,2018
Cleardekho,Eyewear,Venture - Series Unknown,,"Ghaziabad, Uttar Pradesh, India",Uttar Pradesh based online eyewear marketplace.,1000000.0,2018
Dailyhunt,Information Technology,Series E,6000000,"Bangalore, Karnataka, India",NewsHunt is a Bangalore based eBooks company.,6000000.0,2018
SlicePay,FinTech,Series A,14900000,"Bengaluru, Karnataka, India",SlicePay is an AI based instant credit app for youngsters in India.,14900000.0,2018
Udaan,B2B,Series C,225000000,"Bangalore, Karnataka, India","Udaan is a B2B trade platform, designed specifically for small and medium businesses in India.",225000000.0,2018
Happyeasygo Group,Tourism,Series A,,"Haryana, Haryana, India",HappyEasyGo is an online travel domain.,1000000.0,2018
Mombay,Food and Beverage,Seed,7500,"Mumbai, Maharashtra, India",Mombay is a unique opportunity for housewives to start household food business and avail everyone with their homemade healthy dishes.,7500.0,2018
Droni Tech,Information Technology,Seed,5110000.0,"Mumbai, Maharashtra, India",Droni Tech manufacture UAVs and develop software to service a range of industry requirements.,1000000.0,2018
Netmeds,Biotechnology,Series C,35000000,"Chennai, Tamil Nadu, India",Welcome to India's most convenient pharmacy!,35000000.0,2018
